dataset,method,replication,precision,recall,f1,specificity,n_selected,n_true,runtime
LLD,CMI,16,0.8,1.0,0.888888888888889,0.9375,5,4,0.06350359998759814
LLD,LASSO,16,0.21052631578947367,1.0,0.34782608695652173,0.0625,19,4,0.3846505999972578
LLD,Boruta,16,0.8,1.0,0.888888888888889,0.9375,5,4,12.963377000007313
LLD,RF,16,1.0,0.5,0.6666666666666666,1.0,2,4,1.1730686999799218
LLD,QMI-CFS,17,0.4,1.0,0.5714285714285715,0.625,10,4,0.7877815999963786
LLD,QMI-CFS-Classic,17,0.5,1.0,0.6666666666666666,0.75,8,4,0.4031333999882918
LLD,MI,17,0.6,0.75,0.6666666666666665,0.875,5,4,0.10304919999907725
LLD,CMI,17,0.6,0.75,0.6666666666666665,0.875,5,4,0.06593569999677129
LLD,LASSO,17,0.2,1.0,0.33333333333333337,0.0,20,4,0.40711619998910464
LLD,Boruta,17,1.0,1.0,1.0,1.0,4,4,17.53630599999451
LLD,RF,17,1.0,0.5,0.6666666666666666,1.0,2,4,1.187154700019164
LLD,QMI-CFS,18,0.5714285714285714,1.0,0.7272727272727273,0.8125,7,4,0.7718285000009928
LLD,QMI-CFS-Classic,18,0.6666666666666666,1.0,0.8,0.875,6,4,0.4345595999911893
LLD,MI,18,0.6,0.75,0.6666666666666665,0.875,5,4,0.09476340000401251
LLD,CMI,18,0.4,0.5,0.4444444444444445,0.8125,5,4,0.06834580001304857
LLD,LASSO,18,0.2,1.0,0.33333333333333337,0.0,20,4,0.3815947999828495
LLD,Boruta,18,0.8,1.0,0.888888888888889,0.9375,5,4,26.286566599999787
LLD,RF,18,1.0,0.5,0.6666666666666666,1.0,2,4,1.230830699991202
LLD,QMI-CFS,19,0.4444444444444444,1.0,0.6153846153846153,0.6875,9,4,0.7519864999921992
LLD,QMI-CFS-Classic,19,0.4444444444444444,1.0,0.6153846153846153,0.6875,9,4,0.38115899998228997
LLD,MI,19,0.4,0.5,0.4444444444444445,0.8125,5,4,0.10791399999288842
LLD,CMI,19,0.6,0.75,0.6666666666666665,0.875,5,4,0.06246440001996234
LLD,LASSO,19,0.23529411764705882,1.0,0.38095238095238093,0.1875,17,4,0.3967558000003919
LLD,Boruta,19,1.0,1.0,1.0,1.0,4,4,19.988928500009933
LLD,RF,19,1.0,0.5,0.6666666666666666,1.0,2,4,1.1937198000086937
LLD,QMI-CFS,20,0.5,1.0,0.6666666666666666,0.75,8,4,0.7678756000241265
LLD,QMI-CFS-Classic,20,0.5714285714285714,1.0,0.7272727272727273,0.8125,7,4,0.4079914000176359
LLD,MI,20,0.6,0.75,0.6666666666666665,0.875,5,4,0.1041325000114739
LLD,CMI,20,0.8,1.0,0.888888888888889,0.9375,5,4,0.0780287999950815
LLD,LASSO,20,0.23529411764705882,1.0,0.38095238095238093,0.1875,17,4,0.38275759998941794
LLD,Boruta,20,1.0,1.0,1.0,1.0,4,4,27.391528899985133
LLD,RF,20,1.0,0.5,0.6666666666666666,1.0,2,4,1.2532591999915894
LLD,QMI-CFS,21,0.5,1.0,0.6666666666666666,0.75,8,4,0.805517000000691
LLD,QMI-CFS-Classic,21,0.5,1.0,0.6666666666666666,0.75,8,4,0.39816569999675266
LLD,MI,21,0.6,0.75,0.6666666666666665,0.875,5,4,0.11997530001099221
LLD,CMI,21,0.6,0.75,0.6666666666666665,0.875,5,4,0.07733339999685995
LLD,LASSO,21,0.2,1.0,0.33333333333333337,0.0,20,4,0.4038730000029318
