dataset,method,seed,ate_error,pehe,relative_ate_error,runtime
LLD,Boruta,13,0.05641800137846298,0.2792076079458196,2.820900068782104,40.192607300006784
LLD,RF,13,0.7484591864027097,0.7524044570337953,37.42295931826434,1.7715361000155099
LLD,All-Features,13,0.11332892342352086,0.3917558040429165,5.66644617089272,0.012023399991448969
LLD,QMI-CFS,14,0.010950754197558421,0.36155507286682764,0.5475377098505442,1.1186850999947637
LLD,MI,14,0.4567242758372041,0.6052932156684705,22.836213790718393,0.16609310000785626
LLD,CMI,14,0.231867084226967,0.3105217070995979,11.593354210768682,0.1051281999971252
LLD,LASSO,14,0.1641282007201066,0.41710015361619945,8.20641003559501,0.5067851000057999
LLD,Boruta,14,0.2941046080448355,0.3640862175539498,14.705230401506514,32.132148000004236
LLD,RF,14,0.40947789623447806,0.46037646038629093,20.47389481070021,1.7256090999871958
LLD,All-Features,14,0.1641282007201066,0.41710015361619945,8.20641003559501,0.007719300017924979
LLD,QMI-CFS,15,0.24487099309219795,0.38322560867946925,12.243549653997722,1.1590433999954257
LLD,MI,15,0.9055796155551281,0.9972619576129327,45.27898077549246,0.14202719999593683
LLD,CMI,15,0.2869100839134826,0.33849996488563794,14.345504194956854,0.09995180001715198
LLD,LASSO,15,0.1533817724047304,0.46756203113277744,7.669088619853065,0.590568700019503
LLD,Boruta,15,0.30047322198453497,0.3598891125831233,15.023661098475566,17.578320599975996
LLD,RF,15,0.9253663124539533,0.959526653172658,46.26831562038425,1.8166033000161406
LLD,All-Features,15,0.16493845300245802,0.497657276206431,8.246922649710555,0.008482800010824576
LLD,QMI-CFS,16,0.14175946703649522,0.38814382734721037,7.087973351470363,1.4023432999965735
LLD,MI,16,0.526557407724658,0.5875550751941678,26.32787038491651,0.18016370001714677
LLD,CMI,16,0.6291515555803091,0.7190634280399097,31.457577777442573,0.13462019999860786
LLD,LASSO,16,0.040188207044514535,0.3911332615281313,2.009410352125256,0.6820429000072181
LLD,Boruta,16,0.16388487423714704,0.30501122926250557,8.194243711447639,26.629265900002792
LLD,RF,16,0.8578919949391208,0.9365956032815689,42.894599744811316,1.7998532000056002
LLD,All-Features,16,0.04580603657747728,0.40469092026440445,2.290301828759349,0.014572100015357137
LLD,QMI-CFS,17,0.03813807754725662,0.40442614002893956,1.9069038772674858,1.4500346000131685
LLD,MI,17,0.07770533670525381,0.3724323405105352,3.8852668350684274,0.1806044999975711
LLD,CMI,17,0.5064717480659047,0.6411858149386027,25.32358740202905,0.12267609999980778
LLD,LASSO,17,0.010404346003086928,0.3369532319978161,0.5202173001283356,0.6993700000166427
LLD,Boruta,17,0.07364545995987992,0.29650202310154605,3.682272997809882,8.495458000019426
LLD,RF,17,0.8693286686459816,0.904089439311775,43.466433430125754,1.7292931000120007
LLD,All-Features,17,0.0221447460741091,0.401599551124713,1.1072373036500933,0.007858299999497831
LLD,QMI-CFS,18,0.1353534008318653,0.47328969210517224,6.767670041254882,1.082862599985674
LLD,MI,18,0.8933121800920727,1.0035662664505478,44.66560900237035,0.13121190000674687
LLD,CMI,18,0.5055903899867054,0.6957491948742313,25.27951949807129,0.08750210001016967
LLD,LASSO,18,0.018940824103474085,0.4248691014396953,0.9470412051263523,0.5441194000013638
LLD,Boruta,18,0.1414540007354863,0.3439715163982346,7.07270003642068,25.927840799995465
LLD,RF,18,1.0183846211663825,1.0979532286022105,50.91923105577316,1.5109799000201747
