dataset,method,replication,precision,recall,f1,specificity,n_selected,n_true,runtime
LLD,QMI-CFS (Conservative),36,0.5714285714285714,1.0,0.7272727272727273,0.8125,7,4,3.584971200034488
LLD,QMI-CFS (Precision),36,0.42857142857142855,0.75,0.5454545454545454,0.75,7,4,3.613618100003805
LLD,QMI-CFS (No Pairwise),36,0.5714285714285714,1.0,0.7272727272727273,0.8125,7,4,1.8781878000008874
LLD,QMI-CFS (Full),37,0.375,0.75,0.5,0.6875,8,4,3.559949200018309
LLD,QMI-CFS (No Bootstrap),37,0.4,1.0,0.5714285714285715,0.625,10,4,0.08705840003676713
LLD,QMI-CFS (Conservative),37,0.375,0.75,0.5,0.6875,8,4,3.4956115999957547
LLD,QMI-CFS (Precision),37,0.5,0.75,0.6,0.8125,6,4,3.4661711999797262
LLD,QMI-CFS (No Pairwise),37,0.375,0.75,0.5,0.6875,8,4,1.812544499989599
LLD,QMI-CFS (Full),38,0.5,1.0,0.6666666666666666,0.75,8,4,3.5261317000258714
LLD,QMI-CFS (No Bootstrap),38,0.4,1.0,0.5714285714285715,0.625,10,4,0.09157940000295639
LLD,QMI-CFS (Conservative),38,0.5,1.0,0.6666666666666666,0.75,8,4,3.477550399955362
LLD,QMI-CFS (Precision),38,0.5,1.0,0.6666666666666666,0.75,8,4,3.5550062999827787
LLD,QMI-CFS (No Pairwise),38,0.5,1.0,0.6666666666666666,0.75,8,4,1.852055300027132
LLD,QMI-CFS (Full),39,0.5,1.0,0.6666666666666666,0.75,8,4,3.5428344999672845
LLD,QMI-CFS (No Bootstrap),39,0.4,1.0,0.5714285714285715,0.625,10,4,0.08733010001014918
LLD,QMI-CFS (Conservative),39,0.4444444444444444,1.0,0.6153846153846153,0.6875,9,4,3.512323600007221
LLD,QMI-CFS (Precision),39,0.4,1.0,0.5714285714285715,0.625,10,4,3.5668949999962933
LLD,QMI-CFS (No Pairwise),39,0.4444444444444444,1.0,0.6153846153846153,0.6875,9,4,1.8133032000041567
LLD,QMI-CFS (Full),40,0.5,0.75,0.6,0.8125,6,4,3.5035685999901034
LLD,QMI-CFS (No Bootstrap),40,0.4,1.0,0.5714285714285715,0.625,10,4,0.08799329999601468
LLD,QMI-CFS (Conservative),40,0.5,0.75,0.6,0.8125,6,4,3.5272790999733843
LLD,QMI-CFS (Precision),40,0.42857142857142855,0.75,0.5454545454545454,0.75,7,4,3.52226509997854
LLD,QMI-CFS (No Pairwise),40,0.6,0.75,0.6666666666666665,0.875,5,4,1.8337541000219062
LLD,QMI-CFS (Full),41,0.42857142857142855,0.75,0.5454545454545454,0.75,7,4,3.497975000005681
LLD,QMI-CFS (No Bootstrap),41,0.4,1.0,0.5714285714285715,0.625,10,4,0.08105709997471422
LLD,QMI-CFS (Conservative),41,0.5714285714285714,1.0,0.7272727272727273,0.8125,7,4,3.5263539999723434
LLD,QMI-CFS (Precision),41,0.375,0.75,0.5,0.6875,8,4,3.5059234999935143
LLD,QMI-CFS (No Pairwise),41,0.42857142857142855,0.75,0.5454545454545454,0.75,7,4,1.8042994999559596
LLD,QMI-CFS (Full),42,0.5714285714285714,1.0,0.7272727272727273,0.8125,7,4,3.5381513999891467
LLD,QMI-CFS (No Bootstrap),42,0.4,1.0,0.5714285714285715,0.625,10,4,0.08571819995995611
LLD,QMI-CFS (Conservative),42,0.6666666666666666,1.0,0.8,0.875,6,4,3.513811699987855
LLD,QMI-CFS (Precision),42,0.5,1.0,0.6666666666666666,0.75,8,4,3.58540769998217
LLD,QMI-CFS (No Pairwise),42,0.5714285714285714,1.0,0.7272727272727273,0.8125,7,4,1.8587443999713287
LLD,QMI-CFS (Full),43,0.5,1.0,0.6666666666666666,0.75,8,4,3.518695800041314
LLD,QMI-CFS (No Bootstrap),43,0.4,1.0,0.5714285714285715,0.625,10,4,0.07963459996972233
LLD,QMI-CFS (Conservative),43,0.5,1.0,0.6666666666666666,0.75,8,4,3.516916199994739
LLD,QMI-CFS (Precision),43,0.4444444444444444,1.0,0.6153846153846153,0.6875,9,4,3.524368000042159
LLD,QMI-CFS (No Pairwise),43,0.5,1.0,0.6666666666666666,0.75,8,4,1.875173500040546
LLD,QMI-CFS (Full),44,0.5,1.0,0.6666666666666666,0.75,8,4,3.5564707000157796
LLD,QMI-CFS (No Bootstrap),44,0.4,1.0,0.5714285714285715,0.625,10,4,0.0959846000187099
LLD,QMI-CFS (Conservative),44,0.5,1.0,0.6666666666666666,0.75,8,4,3.4918465000228025
LLD,QMI-CFS (Precision),44,0.4444444444444444,1.0,0.6153846153846153,0.6875,9,4,3.5426252000033855
LLD,QMI-CFS (No Pairwise),44,0.4444444444444444,1.0,0.6153846153846153,0.6875,9,4,1.825981700036209
LLD,QMI-CFS (Full),45,0.5,1.0,0.6666666666666666,0.75,8,4,3.5234653999796137
LLD,QMI-CFS (No Bootstrap),45,0.4,1.0,0.5714285714285715,0.625,10,4,0.08342849998734891
LLD,QMI-CFS (Conservative),45,0.5,1.0,0.6666666666666666,0.75,8,4,3.507826999993995
LLD,QMI-CFS (Precision),45,0.5,1.0,0.6666666666666666,0.75,8,4,3.5118964000139385
LLD,QMI-CFS (No Pairwise),45,0.5,1.0,0.6666666666666666,0.75,8,4,1.845387600013055
LLD,QMI-CFS (Full),46,0.5714285714285714,1.0,0.7272727272727273,0.8125,7,4,3.6187617999967188
LLD,QMI-CFS (No Bootstrap),46,0.4,1.0,0.5714285714285715,0.625,10,4,0.09933639998780563
LLD,QMI-CFS (Conservative),46,0.5,1.0,0.6666666666666666,0.75,8,4,3.528525899979286
LLD,QMI-CFS (Precision),46,0.6666666666666666,1.0,0.8,0.875,6,4,3.4896456000278704
LLD,QMI-CFS (No Pairwise),46,0.5714285714285714,1.0,0.7272727272727273,0.8125,7,4,1.8874794999719597
LLD,QMI-CFS (Full),47,0.4444444444444444,1.0,0.6153846153846153,0.6875,9,4,3.6567727999645285
LLD,QMI-CFS (No Bootstrap),47,0.4,1.0,0.5714285714285715,0.625,10,4,0.09787510003661737
LLD,QMI-CFS (Conservative),47,0.4444444444444444,1.0,0.6153846153846153,0.6875,9,4,3.5912744000088423
LLD,QMI-CFS (Precision),47,0.375,0.75,0.5,0.6875,8,4,3.664840399986133
LLD,QMI-CFS (No Pairwise),47,0.4444444444444444,1.0,0.6153846153846153,0.6875,9,4,1.927285399986431
LLD,QMI-CFS (Full),48,0.6666666666666666,1.0,0.8,0.875,6,4,3.6550172999850474
LLD,QMI-CFS (No Bootstrap),48,0.4,1.0,0.5714285714285715,0.625,10,4,0.09169949998613447
LLD,QMI-CFS (Conservative),48,0.6666666666666666,1.0,0.8,0.875,6,4,3.7332507999963127
LLD,QMI-CFS (Precision),48,0.5714285714285714,1.0,0.7272727272727273,0.8125,7,4,3.6160005999845453
LLD,QMI-CFS (No Pairwise),48,0.5714285714285714,1.0,0.7272727272727273,0.8125,7,4,1.952250600035768
LLD,QMI-CFS (Full),49,0.6666666666666666,1.0,0.8,0.875,6,4,3.6828392999595962
