n_samples,method,replication,f1,ate_error,runtime
100,LASSO,18,0.5,0.20706630178519814,0.13617000001249835
100,Boruta,18,0.5,0.24956804117978848,27.811326200026087
100,RF,18,0.5714285714285715,0.32739145015980897,1.0500285999733023
100,All-Features,18,0.5,0.20706630178519814,0.003327100013848394
100,QMI-CFS,19,0.6666666666666666,0.1284322258663737,2.2389849000028335
100,MI,19,0.6,0.29338584603166273,0.03872479998972267
100,CMI,19,0.6,0.7689605581086196,0.02692370000295341
100,LASSO,19,0.5263157894736842,0.04962671173271094,0.14056269999127835
100,Boruta,19,0.7499999999999999,0.363620987556061,30.297206400020514
100,RF,19,0.5714285714285715,0.6042878787431971,1.1237765999976546
100,All-Features,19,0.5,0.04897010050051831,0.00386110000545159
100,QMI-CFS,20,0.3076923076923077,0.7392193678038272,2.231512299971655
100,MI,20,0.6,0.2212969848127786,0.043653500033542514
100,CMI,20,0.4000000000000001,0.4196331104207518,0.03530679998220876
100,LASSO,20,0.5263157894736842,0.5725724767622202,0.13744570000562817
100,Boruta,20,0.7499999999999999,0.20635201172098672,31.745911500009242
100,RF,20,0.5714285714285715,0.3969376663345887,1.4050101999891922
100,All-Features,20,0.5,0.5614662456834338,0.005578399985097349
100,QMI-CFS,21,0.3636363636363636,0.3365336483672765,2.3872728999704123
100,MI,21,0.4000000000000001,0.9966127803191034,0.04749569995328784
100,CMI,21,0.20000000000000004,1.7540624105081948,0.028958199953194708
100,LASSO,21,0.5882352941176471,0.5945497526090866,0.1489200000069104
100,Boruta,21,0.4444444444444445,0.6419647789824676,36.46423450001748
100,RF,21,0.5714285714285715,0.42282850301122865,1.1489520000177436
100,All-Features,21,0.5,0.5758878751246133,0.004331599979195744
100,QMI-CFS,22,0.4000000000000001,0.9425101495444141,2.2938340000109747
100,MI,22,0.4000000000000001,1.10354602472722,0.05567850003717467
100,CMI,22,0.4000000000000001,1.2329071553147508,0.026659400027710944
100,LASSO,22,0.5,0.12525647400822293,0.1514222000259906
100,Boruta,22,0.7499999999999999,0.6016640587163584,31.978700200037565
100,RF,22,0.5714285714285715,1.0148775212842263,1.0314073000336066
100,All-Features,22,0.5,0.12525647400822293,0.004072199983056635
100,QMI-CFS,23,0.6666666666666666,0.18986204342033686,2.269120800017845
100,MI,23,0.4000000000000001,0.8476044085829586,0.03810569999041036
100,CMI,23,0.4000000000000001,1.3365117581523567,0.03510320000350475
100,LASSO,23,0.5,0.14553387277183627,0.14998019998893142
100,Boruta,23,0.5714285714285715,0.8006396156893976,20.117550799972378
100,RF,23,0.5714285714285715,0.8006396156893976,1.2643212999682873
100,All-Features,23,0.5,0.14553387277183627,0.003556200012098998
100,QMI-CFS,24,0.3636363636363636,0.7304464603065655,2.2441141000017524
100,MI,24,0.6,0.4978007827112392,0.043119899986777455
100,CMI,24,0.4000000000000001,0.6880658114736229,0.034655400027986616
100,LASSO,24,0.5,0.20742407938108576,0.14400349999777973
100,Boruta,24,0.0,1.0256815658187541,29.5278862999985
100,RF,24,0.5714285714285715,0.4354109381362745,1.1909669000306167
100,All-Features,24,0.5,0.20742407938108576,0.003444799978751689
100,QMI-CFS,25,0.4000000000000001,0.6492261165423061,2.3051031000213698
100,MI,25,0.4000000000000001,0.752636797041601,0.042338799976278096
100,CMI,25,0.20000000000000004,1.1463066558499868,0.02658579999115318
