dataset,method,seed,f1,precision,recall,specificity,ate_error,n_selected,true_ate
IHDP-A,QMI-CFS,16,0.5454545454545454,0.375,1.0,0.7727272727272727,0.014893498085000623,8,4.0
IHDP-A,MI,16,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9545454545454546,0.18267874763591774,3,4.0
IHDP-A,CMI,16,1.0,1.0,1.0,1.0,0.0014762393141785068,3,4.0
IHDP-A,LASSO,16,0.3157894736842105,0.1875,1.0,0.4090909090909091,0.03580315292116998,16,4.0
IHDP-A,Boruta,16,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.8181818181818182,0.17476832961301536,6,4.0
IHDP-A,RF,16,1.0,1.0,1.0,1.0,0.0014762393141785068,3,4.0
IHDP-A,All-Features,16,0.21428571428571425,0.12,1.0,0.0,0.0366566506026329,25,4.0
IHDP-A,HSIC-Med,16,1.0,1.0,1.0,1.0,0.0014762393141785068,3,4.0
IHDP-A,HSIC-CV,16,1.0,1.0,1.0,1.0,0.0014762393141785068,3,4.0
IHDP-A,HSIC-Lasso,16,1.0,1.0,1.0,1.0,0.0014762393141785068,3,4.0
IHDP-A,QMI-CFS,17,0.5,0.3333333333333333,1.0,0.7272727272727273,0.06529085601917783,9,4.0
IHDP-A,MI,17,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9090909090909091,0.10871190650324536,3,4.0
IHDP-A,CMI,17,1.0,1.0,1.0,1.0,0.03135100550132286,3,4.0
IHDP-A,LASSO,17,0.42857142857142855,0.2727272727272727,1.0,0.6363636363636364,0.07196998727248172,11,4.0
IHDP-A,Boruta,17,0.2222222222222222,0.16666666666666666,0.3333333333333333,0.7727272727272727,0.10509304647501416,6,4.0
IHDP-A,RF,17,1.0,1.0,1.0,1.0,0.03135100550132286,3,4.0
IHDP-A,All-Features,17,0.21428571428571425,0.12,1.0,0.0,0.05396819680325127,25,4.0
IHDP-A,HSIC-Med,17,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9545454545454546,0.16931806953860473,3,4.0
IHDP-A,HSIC-CV,17,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9545454545454546,0.16931806953860473,3,4.0
IHDP-A,HSIC-Lasso,17,1.0,1.0,1.0,1.0,0.03135100550132286,3,4.0
IHDP-A,QMI-CFS,18,0.42857142857142855,0.2727272727272727,1.0,0.6363636363636364,0.0032665103035753873,11,4.0
IHDP-A,MI,18,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9545454545454546,0.4976612548836705,3,4.0
IHDP-A,CMI,18,1.0,1.0,1.0,1.0,0.039434697116815354,3,4.0
IHDP-A,LASSO,18,0.6666666666666666,0.5,1.0,0.8636363636363636,0.0027907945775336174,6,4.0
IHDP-A,Boruta,18,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.8181818181818182,0.5011730513241601,6,4.0
IHDP-A,RF,18,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9545454545454546,0.08240568790680225,3,4.0
IHDP-A,All-Features,18,0.21428571428571425,0.12,1.0,0.0,0.00721809063195078,25,4.0
IHDP-A,HSIC-Med,18,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9545454545454546,0.2237790567157294,3,4.0
IHDP-A,HSIC-CV,18,1.0,1.0,1.0,1.0,0.039434697116815354,3,4.0
IHDP-A,HSIC-Lasso,18,1.0,1.0,1.0,1.0,0.039434697116815354,3,4.0
IHDP-A,QMI-CFS,19,0.5,0.3333333333333333,1.0,0.7272727272727273,0.06352265596564166,9,4.0
IHDP-A,MI,19,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9090909090909091,0.21553240612118518,3,4.0
IHDP-A,CMI,19,1.0,1.0,1.0,1.0,0.0833539364244773,3,4.0
IHDP-A,LASSO,19,0.42857142857142855,0.2727272727272727,1.0,0.6363636363636364,0.05613335150298493,11,4.0
IHDP-A,Boruta,19,0.2222222222222222,0.16666666666666666,0.3333333333333333,0.7727272727272727,0.21134290023697222,6,4.0
IHDP-A,RF,19,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9545454545454546,0.00686371577163003,3,4.0
IHDP-A,All-Features,19,0.21428571428571425,0.12,1.0,0.0,0.050598911879029096,25,4.0
IHDP-A,HSIC-Med,19,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9545454545454546,0.33708708122103914,3,4.0
IHDP-A,HSIC-CV,19,1.0,1.0,1.0,1.0,0.0833539364244773,3,4.0
IHDP-A,HSIC-Lasso,19,1.0,1.0,1.0,1.0,0.0833539364244773,3,4.0
IHDP-A,QMI-CFS,20,0.4615384615384615,0.3,1.0,0.6818181818181818,0.08884529492231596,10,4.0
IHDP-A,MI,20,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9090909090909091,0.22830727401873574,3,4.0
IHDP-A,CMI,20,1.0,1.0,1.0,1.0,0.09020318600953647,3,4.0
IHDP-A,LASSO,20,0.7499999999999999,0.6,1.0,0.9090909090909091,0.07780650503547637,5,4.0
IHDP-A,Boruta,20,0.6666666666666666,0.5,1.0,0.8636363636363636,0.09058124027418835,6,4.0
IHDP-A,RF,20,1.0,1.0,1.0,1.0,0.09020318600953647,3,4.0
IHDP-A,All-Features,20,0.21428571428571425,0.12,1.0,0.0,0.09026207454166801,25,4.0
IHDP-A,HSIC-Med,20,1.0,1.0,1.0,1.0,0.09020318600953647,3,4.0
IHDP-A,HSIC-CV,20,1.0,1.0,1.0,1.0,0.09020318600953647,3,4.0
IHDP-A,HSIC-Lasso,20,1.0,1.0,1.0,1.0,0.09020318600953647,3,4.0
IHDP-A,QMI-CFS,21,0.6,0.42857142857142855,1.0,0.8181818181818182,0.02593467684152273,7,4.0
IHDP-A,MI,21,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9545454545454546,0.18950768800240247,3,4.0
IHDP-A,CMI,21,1.0,1.0,1.0,1.0,0.006595795577869268,3,4.0
IHDP-A,LASSO,21,0.5454545454545454,0.375,1.0,0.7727272727272727,0.024807542495438817,8,4.0
IHDP-A,Boruta,21,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.8181818181818182,0.18988419011227808,6,4.0
IHDP-A,RF,21,1.0,1.0,1.0,1.0,0.006595795577869268,3,4.0
IHDP-A,All-Features,21,0.21428571428571425,0.12,1.0,0.0,0.014959435144194622,25,4.0
IHDP-A,HSIC-Med,21,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9545454545454546,0.1899334747229675,3,4.0
IHDP-A,HSIC-CV,21,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9545454545454546,0.19914662848493325,3,4.0
IHDP-A,HSIC-Lasso,21,1.0,1.0,1.0,1.0,0.006595795577869268,3,4.0
IHDP-A,QMI-CFS,22,0.4615384615384615,0.3,1.0,0.6818181818181818,0.02067872277394489,10,4.0
IHDP-A,MI,22,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9545454545454546,0.05525168549789239,3,4.0
IHDP-A,CMI,22,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9545454545454546,0.05233618943564444,3,4.0
IHDP-A,LASSO,22,0.4615384615384615,0.3,1.0,0.6818181818181818,0.024760529639467066,10,4.0
IHDP-A,Boruta,22,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.8181818181818182,0.034555097984198646,6,4.0
IHDP-A,RF,22,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9545454545454546,0.051537375390601436,3,4.0
IHDP-A,All-Features,22,0.21428571428571425,0.12,1.0,0.0,0.014151535001387217,25,4.0
IHDP-A,HSIC-Med,22,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9545454545454546,0.21717962919608524,3,4.0
IHDP-A,HSIC-CV,22,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9545454545454546,0.21717962919608524,3,4.0
IHDP-A,HSIC-Lasso,22,1.0,1.0,1.0,1.0,0.007313102106907721,3,4.0
IHDP-A,QMI-CFS,23,0.6,0.42857142857142855,1.0,0.8181818181818182,0.11650701416009701,7,4.0
IHDP-A,MI,23,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9090909090909091,0.041151966609334956,3,4.0
IHDP-A,CMI,23,1.0,1.0,1.0,1.0,0.1310123425324341,3,4.0
IHDP-A,LASSO,23,0.6,0.42857142857142855,1.0,0.8181818181818182,0.1307513496188788,7,4.0
IHDP-A,Boruta,23,0.2222222222222222,0.16666666666666666,0.3333333333333333,0.7727272727272727,0.04644124011052764,6,4.0
IHDP-A,RF,23,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9545454545454546,0.1595128790564817,3,4.0
IHDP-A,All-Features,23,0.21428571428571425,0.12,1.0,0.0,0.14688536355932857,25,4.0
IHDP-A,HSIC-Med,23,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9545454545454546,0.1047670269589629,3,4.0
IHDP-A,HSIC-CV,23,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9545454545454546,0.1047670269589629,3,4.0
IHDP-A,HSIC-Lasso,23,1.0,1.0,1.0,1.0,0.1310123425324341,3,4.0
IHDP-A,QMI-CFS,24,0.5,0.3333333333333333,1.0,0.7272727272727273,0.04922640942689416,9,4.0
IHDP-A,MI,24,0.0,0.0,0.0,0.8636363636363636,0.1411069082486911,3,4.0
IHDP-A,CMI,24,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9545454545454546,0.027188300857160286,3,4.0
IHDP-A,LASSO,24,0.6,0.42857142857142855,1.0,0.8181818181818182,0.04214669172697061,7,4.0
IHDP-A,Boruta,24,0.2222222222222222,0.16666666666666666,0.3333333333333333,0.7727272727272727,0.4137264654349311,6,4.0
IHDP-A,RF,24,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9545454545454546,0.016180550738714494,3,4.0
IHDP-A,All-Features,24,0.21428571428571425,0.12,1.0,0.0,0.04862607488972781,25,4.0
IHDP-A,HSIC-Med,24,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9545454545454546,0.007466097711118724,3,4.0
IHDP-A,HSIC-CV,24,1.0,1.0,1.0,1.0,0.026449748249943283,3,4.0
